,id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo
0,1303845639718133762,https://twitter.com/TheScientistLLC/status/1303845639718133762,TheScientistLLC,,Find the latest stats on the #COVID19 epidemic here. ,2020-09-09 23:59:59+00:00,1,1,,#COVID19,
1,1303845638904451072,https://twitter.com/scarecolombia/status/1303845638904451072,scarecolombia,,#Importante ADRES amplía plazo para el reporte de reconocimiento al Talento Humano en Salud en #COVID19: https://bit.ly/32bdu3k #CuidamosALosQueCuidan #LaVozDeLosQueCuidan,2020-09-09 23:59:59+00:00,0,0,,#Importante #COVID19 #CuidamosALosQueCuidan #LaVozDeLosQueCuidan,
2,1303845631757299712,https://twitter.com/AHADaveReg7/status/1303845631757299712,AHADaveReg7,NPR,This is a horrible consequence of the disjointed response to the #COVID19 pandemic. The disproportionate impact being felt by people of color is yet another example of racial injustice in 2020. ,2020-09-09 23:59:57+00:00,0,1,,#COVID19,
3,1303845613302411265,https://twitter.com/ppl4justice/status/1303845613302411265,ppl4justice,AngelaBelcamino,"Please bring closure to all #Americans, who have lost a family member to #COVID19. Your #Lies are an insult, added to injury. For once in your life, do the right thing. #ResignNowTrump",2020-09-09 23:59:53+00:00,0,0,,#Americans #COVID19 #Lies #ResignNowTrump,
4,1303845603835891713,https://twitter.com/MaruOrtizTw/status/1303845603835891713,MaruOrtizTw,MaruOrtizTw," #PuertoPirámides #COVID19 El equipo de gobierno se realizó el hisopado y dió negativo ""Queda de manifiesto que nuestro grupo de trabajo cumple responsablemente con el distanciamiento e higiene que indican los protocolos sanitarios"" @FabianGandon",2020-09-09 23:59:50+00:00,1,1,@FabianGandon,#PuertoPir #COVID19,
5,1303845600610353156,https://twitter.com/DoodlerRubin/status/1303845600610353156,DoodlerRubin,,"PLAYING IT DOWN, KILLED 75,000 PEOPLE. “I think that’s a problem that’s going to go away.""#heknew #covid19 #bobwoodward #thankyou #votehimout #liarinchief #illustration #politicalcartoons #doodle #art http://marcrubindoodles.com",2020-09-09 23:59:50+00:00,0,0,,#heknew #covid19 #bobwoodward #thankyou #thankyou #votehimout #liarinchief #illustration #politicalcartoons #doodle #art,
6,1303845587947790336,https://twitter.com/sfRivarola/status/1303845587947790336,sfRivarola,,"Vuelta atrás. Río Cuarto retorna a la Fase 1, desde las 0 hs del sábado, hasta el día 22. Bienvenido el aislamiento obligatorio? Se va a respetar? La ciudad estalló en casos en los últimos 40 días: más de 1500. #URGENTE #COVID19 #Cordoba #pandemia #pandemic",2020-09-09 23:59:47+00:00,0,1,,#URGENTE #COVID19 #Cordoba #pandemia #pandemic,
7,1303845580070813696,https://twitter.com/democracylives2/status/1303845580070813696,democracylives2,jimsciutto,"Fascination with murder??? OMG. Trump is sick. Beyond lack of empathy. Small animals go missing sick. Not kidding. Explains #COVID19, explains why he hates masks. Trump wants to watch. He's frikkin...the doctor in the James B. Stewart book. Wingo. OMFG.",2020-09-09 23:59:45+00:00,0,0,,#COVID19,
8,1303845576572895234,https://twitter.com/diffbrains/status/1303845576572895234,diffbrains,,How has #PTSD affected this writer's #quarantine experience? Click the link to find out! #COVID19 https://bit.ly/3igo6Ua,2020-09-09 23:59:44+00:00,0,1,,#PTSD #quarantine #COVID19,
9,1303845574538678274,https://twitter.com/LaurenWeberHP/status/1303845574538678274,LaurenWeberHP,chadterhune,"That makes at least 52 top state and local health officials who have resigned, retired, or been fired across 24 states since April according to the @KHNews @AP #UnderfundedUnderThreat running list. You can read more on this #COVID19 phenomenon here: https://apnews.com/8ea3b3669bccf8a637b81f8261f1cd78",2020-09-09 23:59:43+00:00,28,30,@KHNews @AP,#UnderfundedUnderThreat #COVID19,
10,1303845572193988610,https://twitter.com/VOTR1776/status/1303845572193988610,VOTR1776,,#trump #TrumpKnew #trumpists #scrotus #COVID19 #treason #Resist #votr1776,2020-09-09 23:59:43+00:00,0,0,,#trump #TrumpKnew #trumpists #scrotus #COVID19 #treason #Resist #votr1776,
