,id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo
0,1291849086522593282,https://twitter.com/CubanWindow/status/1291849086522593282,CubanWindow,,"Cuba deserves admiration and respect, not sanctions and smears #UnBlockCuba #Cuba #UnitedKingdom #NobelPrize #cubandoctors #COVID_19",2020-08-07 21:29:58+00:00,0,0,,#UnBlockCuba #Cuba #UnitedKingdom #NobelPrize #cubandoctors #COVID_19,
1,1299038960635838464,https://twitter.com/pitchfork/status/1299038960635838464,pitchfork,,#UnlockTheOpen with @Chase and make more of that energy felt at the @USOpen even as you watch from home. #ad,2020-08-27 17:39:57+00:00,6,108,@Chase @usopen,#UnlockTheOpen #ad,
2,1291841619260579847,https://twitter.com/RatioScientiae/status/1291841619260579847,RatioScientiae,,Women Who Won a Nobel Prize in Science #nobelprize #womennobelprize #sexdiscrimination Please click on the link: https://ratioscientiae.weebly.com/ratio-scientiae-blog/women-who-won-nobel-prize-in-science,2020-08-07 21:00:17+00:00,1,0,,#nobelprize #womennobelprize #sexdiscrimination,
3,1291841191756083201,https://twitter.com/SanteGeronimo/status/1291841191756083201,SanteGeronimo,deadlineclub,#handke #peterhandke #nobelprize Aus: ‹Tage und Werke – Begleitschreiben› https://www.suhrkamp.de/buecher/tage_und_werke-peter_handke_42492.html,2020-08-07 20:58:36+00:00,0,0,,#handke #peterhandke #nobelprize,
4,1291834629150965766,https://twitter.com/SanteGeronimo/status/1291834629150965766,SanteGeronimo,deadlineclub,"#handke #peterhandke #nobelprize Peter Handke nos transporta en ‹La noche del Morava› a un territorio singularmente hechizante, onírico, un entorno difuso e imaginario en el que se entrelazan la realidad y la ficción. ",2020-08-07 20:32:31+00:00,0,0,,#handke #peterhandke #nobelprize,
5,1291833623201677312,https://twitter.com/SanteGeronimo/status/1291833623201677312,SanteGeronimo,deadlineclub,#handke #peterhandke #nobelprize ‹El año que pasé en la bahía de nadie› tiene algo de rendición de cuentas sobre lo que es escribir y sobre la posibilidad o imposibilidad de una «transformación» en y por la escritura. ,2020-08-07 20:28:31+00:00,0,0,,#handke #peterhandke #nobelprize,
6,1291831106396991489,https://twitter.com/SanteGeronimo/status/1291831106396991489,SanteGeronimo,deadlineclub,"#handke #peterhandke #nobelprize Prendendo spunto da Goethe, «maestro del dire essenziale», Handke propone in questo poemetto una sua personale ricerca sul concetto di durata, l’entità che fornisce contorno a quanto ha la tendenza a dissolversi. ",2020-08-07 20:18:31+00:00,0,0,,#handke #peterhandke #nobelprize,
7,1291800719494770688,https://twitter.com/bakreddy1970/status/1291800719494770688,bakreddy1970,,"Tribute to legendary #NobelPrize laureate, Sri #RabindranathTagore On his 79th death anniversary. #Jaihind",2020-08-07 18:17:46+00:00,0,1,,#NobelPrize #RabindranathTagore #Jaihind,
8,1291791449143439360,https://twitter.com/Univ_inenglish/status/1291791449143439360,Univ_inenglish,,#Bengali author #RabindranathTagore died #OnThisDay in 1941. He was highly influential in introducing #Indian culture to the West &amp; vice versa. In 1913 he became the first non-European to receive the #NobelPrize for Literature! ,2020-08-07 17:40:56+00:00,5,12,,#Bengali #RabindranathTagore #OnThisDay #Indian #NobelPrize,
9,1291786739321909249,https://twitter.com/konchogsum/status/1291786739321909249,konchogsum,MatthieuRicard,#NobelPeacePrize #NobelPrize #EndGunViolence,2020-08-07 17:22:13+00:00,0,0,,#NobelPeacePrize #NobelPrize #EndGunViolence,
10,1291785618872102912,https://twitter.com/arvindm939/status/1291785618872102912,arvindm939,TheZaiduLeaks,#NobelPrize for zaidu in economics ,2020-08-07 17:17:46+00:00,0,0,,#NobelPrize,
11,1291779711689875456,https://twitter.com/gulshandevaiah/status/1291779711689875456,gulshandevaiah,OnlyBabaSehgal,#NobelPrize ,2020-08-07 16:54:18+00:00,3,83,,#NobelPrize,
12,1291767709919842304,https://twitter.com/Juanesco1965/status/1291767709919842304,Juanesco1965,,#InfamePersecucionAUribe #UribeEsInocente #UribeEsColombia #ColombiaSeRespeta #NoMasPetro #CepedaManipulador #FarcImpuneUribeSinLibertad #NoMasFarcM19YEln #CorteCriminal #NoMasNarcoTerrorismo #NOalSocialismoEnColombia #NoMasFecode #NoMasJep #SantosTraidor #NobelPrize ,2020-08-07 16:06:36+00:00,2,1,,#InfamePersecucionAUribe #UribeEsInocente #UribeEsColombia #ColombiaSeRespeta #NoMasPetro #CepedaManipulador #FarcImpuneUribeSinLibertad #NoMasFarcM19YEln #CorteCriminal #NoMasNarcoTerrorismo #NOalSocialismoEnColombia #NoMasFecode #NoMasJep #SantosTraidor #NobelPrize,
13,1291762632714788866,https://twitter.com/BolivarCristhin/status/1291762632714788866,BolivarCristhin,JuanManSantos,@NobelPrize Entregado a este tipo de Sujetos por negocios y no por méritos ha hecho que se pierda completamente su prestigio @JuanManSantos ES UN SUJETO DESPRECIABLE COLOMBIA SIENTE VERGÜENZA DE ESTAR REPRESENTADOS POR SEMEJANTE INDIVIDUO Falso #NobelPrize Cínico Mentiroso ,2020-08-07 15:46:26+00:00,0,0,@NobelPrize @JuanManSantos,#NobelPrize,
14,1291761570981322752,https://twitter.com/SchrodingersCO2/status/1291761570981322752,SchrodingersCO2,chefjoseandres,Your guys are EVERYDAMNEDWHERE in no time flat! Time for a #NobelPrize,2020-08-07 15:42:12+00:00,7,80,,#NobelPrize,
15,1291761547124125696,https://twitter.com/Pclopezarci/status/1291761547124125696,Pclopezarci,,"#UnDíaComoHoy de 1941 muere #RabindranathTagore, literato #bengalí, premio #NobelPrize 1913. Les invitamos a leer una selección de sus cuentos en la Biblioteca digital gratuita EL LIBRO TOTAL https://bit.ly/31b6gup",2020-08-07 15:42:07+00:00,0,0,,#UnD #RabindranathTagore #bengal #NobelPrize,
16,1291759976478699520,https://twitter.com/thakurprakashk/status/1291759976478699520,thakurprakashk,PiyushGoyal,A person who was habitual of Listening Rabindra Sangeet at 5:30 am (which is scheduled to broadcast at 7:30) forget Rabindra Nath Tagore today. @MamataOfficial #NobelPrize #RabindranathTagore @naveenjindalbjp @SudhanshuBJP @SudhanshuTrived @sambitswaraj @M_Lekhi,2020-08-07 15:35:52+00:00,0,0,@MamataOfficial @naveenjindalbjp @SudhanshuBJP @SudhanshuTrived @sambitswaraj @M_Lekhi,#NobelPrize #RabindranathTagore,
17,1291759001194160128,https://twitter.com/PioneeringW/status/1291759001194160128,PioneeringW,," #TodayinHistory August 7th, ELIONOR OSTROM was born in 1933, she became the first of only two women to win the Nobel Prize in Economics. #USA #womeninScience #WomenInEconomics #NobelPrize #professionalWomen #womenmakinghistory #inspireOthers #PioneeringWomen",2020-08-07 15:32:00+00:00,2,5,,#TodayinHistory #USA #womeninScience #WomenInEconomics #NobelPrize #professionalWomen #womenmakinghistory #inspireOthers #PioneeringWomen,
18,1291757779309465603,https://twitter.com/AmanyEmam16/status/1291757779309465603,AmanyEmam16,,https://www.nobelprize.org/womenwhochangedscience/stories/carol-greider The great beginning of the research on aging! Such an Inspiration ! #Telomere #telomerase #aging #Science #biology #NobelPrize #Tetrahymena #MolecularBiology,2020-08-07 15:27:08+00:00,0,0,,#Telomere #telomerase #aging #Science #biology #NobelPrize #Tetrahymena #MolecularBiology,
19,1291756483135172613,https://twitter.com/Bobhalder/status/1291756483135172613,Bobhalder,,Remembering #BharatRatna #kaviguru #rabindranath #rabindranathtagore #nobelprize #poetry on #DeathAnniversary https://www.instagram.com/p/CDl8spspRNg/?igshid=1jaanr9rnd1h0,2020-08-07 15:21:59+00:00,0,0,,#BharatRatna #kaviguru #rabindranath #rabindranathtagore #nobelprize #poetry #DeathAnniversary,
20,1291756093060689923,https://twitter.com/Bobhalder/status/1291756093060689923,Bobhalder,,Remembering #BharatRatna #kaviguru #rabindranath #rabindranathtagore #nobelprize #poetry on #DeathAnniversary https://www.instagram.com/p/CDl8hVxJxpR/?igshid=ttttgew5g7o2,2020-08-07 15:20:26+00:00,0,0,,#BharatRatna #kaviguru #rabindranath #rabindranathtagore #nobelprize #poetry #DeathAnniversary,
21,1291754834933223424,https://twitter.com/BolivarCristhin/status/1291754834933223424,BolivarCristhin,JuanManSantos,Lamento profundamente que le hayan puesto los cachos a este Cretino Estafador Cínico Mentiroso FALSO #NobelPrize UNA VERGÜENZA PARA COLOMBIA ,2020-08-07 15:15:26+00:00,1,2,,#NobelPrize,
22,1301587465258577920,https://twitter.com/LenovoLegion/status/1301587465258577920,LenovoLegion,,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,10,150,@PlayApex,,
23,1291751164262772741,https://twitter.com/African_Festusa/status/1291751164262772741,African_Festusa,,Did you know? The invention of the CAT Scan that resulted in a Nobel Prize took place in South Africa. #FunFactFriday #AfricanFestUSA #Africa #SouthAfrica #Invention #Technology #NobelPrize ,2020-08-07 15:00:51+00:00,0,0,,#FunFactFriday #AfricanFestUSA #Africa #SouthAfrica #Invention #Technology #NobelPrize,
24,1291743607121215488,https://twitter.com/MITxonedX/status/1291743607121215488,MITxonedX,,"Access 2019 #NobelPrize winning research from MIT Professors Abhijit Banerjee and Esther Duflo when you enroll in the MITx MicroMasters® program Data, Economics, and Development Policy. Course registration is now open! http://ow.ly/h4F050ALuo5",2020-08-07 14:30:50+00:00,2,8,,#NobelPrize,
25,1291737169766354944,https://twitter.com/Treijsen/status/1291737169766354944,Treijsen,mattiasfyrenius,Så kul för alla inblandade. Särskilt stolt över den exekutiva producenten @mattiasfyrenius som startat och drivit projektet. Nu ska vi fira! Grattis också till alla andra inblandade! #NobelPrize #nobelmedia @magnusgylje @laurasprechmann @Labrahamson Lars Heikensten mfl!,2020-08-07 14:05:15+00:00,0,4,@mattiasfyrenius @magnusgylje @laurasprechmann @Labrahamson,#NobelPrize #nobelmedia,
26,1291737048177504256,https://twitter.com/professormsrao/status/1291737048177504256,professormsrao,,@SimonHaighcom #covid19 #management #coaching #mentoring #emotionalintelligence #leadershipdevelopment #leaders #nobelprize #leadership #softskills #profmsrao #Giveaway #BookLovers #marketing Interview on my award-winning book ‘See the Light in You’,2020-08-07 14:04:46+00:00,0,1,@SimonHaighcom,#covid19 #management #coaching #mentoring #emotionalintelligence #leadershipdevelopment #leaders #nobelprize #leadership #softskills #profmsrao #Giveaway #BookLovers #marketing,
27,1291736990908665856,https://twitter.com/SanteGeronimo/status/1291736990908665856,SanteGeronimo,deadlineclub,"#handke #peterhandke #nobelprize In this brief and wry volume, Peter Handke conjures images and depicts the subtleties of human interaction with an unforgettable vividness: ‹Don Juan – His Own Version›. ",2020-08-07 14:04:32+00:00,0,0,,#handke #peterhandke #nobelprize,
28,1291736488334557186,https://twitter.com/SanteGeronimo/status/1291736488334557186,SanteGeronimo,deadlineclub,"#handke #peterhandke #nobelprize The first of Nobel Prize winner Peter Handke’s novels to be published in English, ‹The Goalie’s Anxiety at the Penalty Kick› is a true modern classic. ",2020-08-07 14:02:32+00:00,0,0,,#handke #peterhandke #nobelprize,
29,1291734657621356544,https://twitter.com/Reach_Nishant/status/1291734657621356544,Reach_Nishant,ValaAfshar,Women who made a difference by touching lives and changed the world for better. #NobelPrize #NobelPeacePrize #womenempowerment #peace,2020-08-07 13:55:16+00:00,0,0,,#NobelPrize #NobelPeacePrize #womenempowerment #peace,
30,1291732452759810048,https://twitter.com/SanteGeronimo/status/1291732452759810048,SanteGeronimo,deadlineclub,"#handke #peterhandke #nobelprize Canto a la fugacidad y al movimiento incesante de la vida, ‹Poema a la duración› es una obra maestra del género que aquí publicamos en la extraordinaria y ya clásica versión de Eustaquio Barjau. ",2020-08-07 13:46:30+00:00,0,0,,#handke #peterhandke #nobelprize,
31,1291732430995501060,https://twitter.com/Biocats/status/1291732430995501060,Biocats,,"Read Antonella Amore's experience from her first international, virtual event at the #ProteinEngineering Congress where the highlight was listening to #NobelPrize winner, @francesarnold inspire and discuss new avenues in protein engineering.",2020-08-07 13:46:25+00:00,0,0,@francesarnold,#ProteinEngineering #NobelPrize,
32,1291731448320471041,https://twitter.com/SanteGeronimo/status/1291731448320471041,SanteGeronimo,deadlineclub,"#handke #peterhandke #nobelprize ‹The Great Fall› by Peter Handke, one of our greatest living writers, chronicles a day in life of an aging actor as he makes his way on foot from the outskirts of a great metropolis into its center. ",2020-08-07 13:42:31+00:00,0,0,,#handke #peterhandke #nobelprize,
33,1291728202570899457,https://twitter.com/RafiR8ts/status/1291728202570899457,RafiR8ts,kaushikcbasu,"Are you now aiming for a #NobelPrize in Medicine, Kaushik babu? @kaushikcbasu",2020-08-07 13:29:37+00:00,1,1,@kaushikcbasu,#NobelPrize,
34,1291723966273351680,https://twitter.com/buenoknk/status/1291723966273351680,buenoknk,,Hey! Punk! where is Banach Space on yer Graph! Stupid! Read this! http://www.bstmcn.com/dwnld/der2.pdf #NobelPrize #NobelFacts,2020-08-07 13:12:47+00:00,0,0,,#NobelPrize #NobelFacts,
35,1291720507692404736,https://twitter.com/Thuo_Bernarde/status/1291720507692404736,Thuo_Bernarde,,"""If #breastfeeding did not already exist, someone who invented it today would deserve a dual #nobelprize in medicine and economics"" Keith Hansen #wbw2020",2020-08-07 12:59:02+00:00,0,0,,#breastfeeding #nobelprize #wbw2020,
36,1291715605926739968,https://twitter.com/palabraartesana/status/1291715605926739968,palabraartesana,,"""Dormía..., dormía y soñaba que la vida no era más que alegría. Me desperté y vi que la vida no era más que servir... y el servir era alegría."", Rabindranath Tagore. #escritor #citas #Efemérides #NobelPrize",2020-08-07 12:39:34+00:00,0,2,,#escritor #citas #Efem #NobelPrize,
37,1291714835235966978,https://twitter.com/Stampheads/status/1291714835235966978,Stampheads,,Latest headphone stand featuring postage stamps commemorating the life achievements of Nobel prize winning physicist Albert Einstein. #headphonestand #einstein #alberteinstein #nobelprize #écouter #headphones #eclectic #decor #head #different #uniquegifts #oneofakind #gif…,2020-08-07 12:36:30+00:00,0,2,,#headphonestand #einstein #alberteinstein #nobelprize #headphones #eclectic #decor #head #different #uniquegifts #oneofakind #gif,
38,1291712275326185472,https://twitter.com/ShrinivasDempo/status/1291712275326185472,ShrinivasDempo,,You can't cross the sea merely by standing and staring at the water. Rabindranath Tagore #Tagore #RabindranathTagore #NobelPrize ,2020-08-07 12:26:19+00:00,0,16,,#Tagore #RabindranathTagore #NobelPrize,
39,1291708569440489473,https://twitter.com/AartiHandel/status/1291708569440489473,AartiHandel,,"""The Environment around us is in sync with the thoughts and emotions inside us."" (Tapovan) - #RabindranathTagore My tribute to India's First Nobel Laureate for literature #RabindranathTagore #NobelPrize #environment #Balance @djjssantulan @djjssanrakshan",2020-08-07 12:11:36+00:00,2,12,@djjssantulan @djjssanrakshan,#RabindranathTagore #RabindranathTagore #NobelPrize #environment #Balance,
40,1291702009507110914,https://twitter.com/time4MAN/status/1291702009507110914,time4MAN,VPSecretariat,"Sir, pld don't be jealous of @narendramodi 's ""sarv-garm-vada-pav"" approach for #NobelPrize and push your candidature thru such equally pathetic utterances ",2020-08-07 11:45:32+00:00,0,0,@narendramodi,#NobelPrize,
