,id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo
0,1303845618549321729,https://twitter.com/OregonDEQ/status/1303845618549321729,OregonDEQ,ConnollyMer,"Hi Meredith, This is not one of our monitors. Also, Purple Air monitors are not calibrated with those from @OregonDEQ. See our pinned tweet thread for info on our Air Quality Index and other resources. #StaySafe!",2020-09-09 23:59:54+00:00,0,2,@OregonDEQ,#StaySafe,
1,1301587465258577920,https://twitter.com/LenovoLegion/status/1301587465258577920,LenovoLegion,,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,10,150,@PlayApex,,
2,1303845560420499457,https://twitter.com/isahibakaur/status/1303845560420499457,isahibakaur,,Good Morning:D #stayhappy #staysafe #StayHealthy,2020-09-09 23:59:40+00:00,0,2,,#stayhappy #staysafe #StayHealthy,
3,1303845496205737984,https://twitter.com/CoolBrz24/status/1303845496205737984,CoolBrz24,,My head feels so much better with my fresh cut from my homie rhia_thebarber yo! . . . . #seanyo #seansvlogsyo #positivevibes #yo #lifeisgreat #love #blacklivesmatter #staysafe #freshcut… https://www.instagram.com/p/CE72JSRjr3W_P9kQLeVMq1ifsb7t9I8LUOF_YQ0/?igshid=1xj9udigblwo5,2020-09-09 23:59:25+00:00,0,1,,#seanyo #seansvlogsyo #positivevibes #yo #lifeisgreat #love #blacklivesmatter #blacklivesmatter #staysafe #freshcut,
4,1303845368988413952,https://twitter.com/FireandAviation/status/1303845368988413952,FireandAviation,flySFO,#staysafe @flySFO,2020-09-09 23:58:54+00:00,0,0,@flySFO,#staysafe,
5,1303844284227969024,https://twitter.com/Nadiahdutdut/status/1303844284227969024,Nadiahdutdut,MarhamahR,Hg duk diam2 naa. Aku tk nk dengar kluster padi pulak lepas ni @asilaaahh #StaySafe ,2020-09-09 23:54:36+00:00,1,2,@asilaaahh,#StaySafe,
6,1303843973086150656,https://twitter.com/6crickets/status/1303843973086150656,6crickets,,Register at: http://bit.ly/6cGrassLearn Learn #survivalskills that build confidence in knowing how to #staysafe when venturing into the #greatoutdoors with Survival &amp; First Aid - Stay Safe by Best of 6crickets 2020 Award winner Grasshopper Enrichment Education! (For grades 2-7),2020-09-09 23:53:22+00:00,0,0,,#survivalskills #staysafe #greatoutdoors,
7,1303843565362085888,https://twitter.com/donatiello/status/1303843565362085888,donatiello,,"#free #sepia #filter today provided by #climatechange #fires #norcal #staysafe @San Francisco, California https://www.instagram.com/p/CE71RJRhuzN/?igshid=1qzasf38d4xmu",2020-09-09 23:51:44+00:00,1,0,,#free #sepia #filter #climatechange #fires #norcal #staysafe,
8,1303843275472855040,https://twitter.com/Patrick63104016/status/1303843275472855040,Patrick63104016,,@nadsday Will follow soon as #StaySafe,2020-09-09 23:50:35+00:00,0,1,@nadsday,#StaySafe,
9,1303843210956070913,https://twitter.com/lbsuofficers/status/1303843210956070913,lbsuofficers,LeedsCC_News,"Remember to #staysafe and follow social distancing rules, not only to keep yourself, but others safe too. #leeds #StaySafeSaveLives",2020-09-09 23:50:20+00:00,0,0,,#staysafe #leeds #StaySafeSaveLives,
10,1303843122061877248,https://twitter.com/Travelerien/status/1303843122061877248,Travelerien,,#jakartalockdown #PSBBJakarta #StaySafe #COVID19,2020-09-09 23:49:59+00:00,0,1,,#jakartalockdown #PSBBJakarta #StaySafe #COVID19,
11,1303843011437178880,https://twitter.com/Patrick63104016/status/1303843011437178880,Patrick63104016,marthaunplugged,Should we blame teachers for how they rewrite? #StaySafe,2020-09-09 23:49:32+00:00,0,0,,#StaySafe,
12,1303842919875375104,https://twitter.com/Donna_Payne/status/1303842919875375104,Donna_Payne,,"Flu shots are available. I got mine yesterday. Given that it’s 2020, consider getting yours now. #staysafe",2020-09-09 23:49:10+00:00,0,3,,#staysafe,
13,1303842715830976512,https://twitter.com/wikkedengel/status/1303842715830976512,wikkedengel,smoke_toke_rose,Heartbreaking Send help @realDonaldTrump #PrayForOregon #sendhelp #Apocalypse #staysafe ,2020-09-09 23:48:22+00:00,0,0,@realDonaldTrump,#PrayForOregon #sendhelp #Apocalypse #staysafe,
14,1303842712035053568,https://twitter.com/worldnpictures/status/1303842712035053568,worldnpictures,,#Maharashtra #Mumbai The Chhatrapati Shivaji Maharaj Terminus #heritage building #photographer #Traveller #travelforlife #dreamcity #StaySafe #StayHealthy,2020-09-09 23:48:21+00:00,0,1,,#Maharashtra #Mumbai #heritage #photographer #Traveller #travelforlife #dreamcity #StaySafe #StayHealthy,
15,1303842707966693378,https://twitter.com/Patrick63104016/status/1303842707966693378,Patrick63104016,nadsday,But only the richest will. Absolutely Love this song. #StaySafe,2020-09-09 23:48:20+00:00,0,1,,#StaySafe,
16,1303842604887339010,https://twitter.com/storybystrauss/status/1303842604887339010,storybystrauss,,Finally! New merch is up on my store with more designs coming your way! https://bit.ly/3ih3Rpg #merchandise #threadless #Apparel #Stickers #design #artwork #tshirtshop #hotpockets #MadeinTaiwan #backtoschool #staysafe #stayfresh #devlife,2020-09-09 23:47:55+00:00,1,2,,#merchandise #threadless #Apparel #Stickers #design #artwork #tshirtshop #hotpockets #MadeinTaiwan #backtoschool #staysafe #stayfresh #devlife,
17,1303842428470910980,https://twitter.com/Patrick63104016/status/1303842428470910980,Patrick63104016,,@LovelySocialist Will follow soon as #StaySafe,2020-09-09 23:47:13+00:00,0,1,@LovelySocialist,#StaySafe,
