,id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo
0,1303400504815353856,https://twitter.com/AliveAndFreeRx/status/1303400504815353856,AliveAndFreeRx,,"Sign up for #AliveAndFree's upcoming #Leadership Academy Orientation to learn about how we keep your students alive, free and educated. Orientation is Sept. 15 and class starts Sept. 22! #Collegebound #College #ViolencePrevention #Education",2020-09-08 18:31:11+00:00,1,0,,#AliveAndFree #Leadership #Collegebound #College #ViolencePrevention #Education,
1,1301587465258577920,https://twitter.com/LenovoLegion/status/1301587465258577920,LenovoLegion,,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,,
2,1303352404210069505,https://twitter.com/together4girls/status/1303352404210069505,together4girls,," Last week, the Government of Côte d’Ivoire launched their Violence Against Children Survey report. Now, they have detailed #data to inform violence prevent and response policies + programs. #violenceprevention #endVAC To learn more, visit https://bit.ly/2Goe9Ge",2020-09-08 15:20:02+00:00,3,5,,#data #violenceprevention #endVAC,
3,1303336617655046147,https://twitter.com/AcclivusChicago/status/1303336617655046147,AcclivusChicago,,It takes 10 Minutes to fill out the 2020 Census form! Have YOU filled it out? 10 Minutes will bring NEEDED FEDERAL DOLLARS to YOUR Community! https://2020census.gov/ #acclivus #chicago #twill #2020census #cookcountycensus #hospitalresponse #violenceprevention #everyblockmatters,2020-09-08 14:17:19+00:00,0,0,,#acclivus #chicago #twill #2020census #cookcountycensus #hospitalresponse #violenceprevention #everyblockmatters,
4,1303054483203784704,https://twitter.com/BarnumLives/status/1303054483203784704,BarnumLives,BandyXLee1,Dr Lee–your message is about #violencePrevention what do we need to know/do to keep our communities from becoming the next #Kenosha #Portland? #AmericaOrTrump,2020-09-07 19:36:13+00:00,0,0,,#violencePrevention #Kenosha #Portland #AmericaOrTrump,
5,1303010982759993348,https://twitter.com/AcclivusChicago/status/1303010982759993348,AcclivusChicago,,"Acclivus believes Every Block Matters because everyone has value. THINK BEFORE YOU ACT ~ LeVon Stone Sr We are canvassing block by block to help community members, youth, & young adults. #acclivusmatters #chicago #twill #violenceprevention #hospitalresponse #everyblockmatters",2020-09-07 16:43:21+00:00,1,0,,#acclivusmatters #chicago #twill #violenceprevention #hospitalresponse #everyblockmatters,
6,1302985621254930434,https://twitter.com/AcclivusChicago/status/1302985621254930434,AcclivusChicago,,Over the weekend Acclivus hosted several community event including this one in the West Pullman community. We are going block by block to help community members. #acclivus #chicago #southside #blockbyblock #everyblockmatters #twill #community #violenceprevention #hospitalresponse,2020-09-07 15:02:35+00:00,0,0,,#acclivus #chicago #southside #blockbyblock #everyblockmatters #twill #community #violenceprevention #hospitalresponse,
7,1302949018516033537,https://twitter.com/Prevent_Collab/status/1302949018516033537,Prevent_Collab,,Did you miss Part 1 of our webinar series on #uniteforabetterlife w/ @Crucial_Convos? No need to worry! You can watch the recording or view key takeaways now. https://bit.ly/2YgpX3m #EndIPV #EndVAW #ViolencePrevention ,2020-09-07 12:37:08+00:00,5,5,@Crucial_Convos,#uniteforabetterlife #EndIPV #EndVAW #ViolencePrevention,
8,1302771203288031232,https://twitter.com/ECDiazdeLeon/status/1302771203288031232,ECDiazdeLeon,,"Help name @TAASA new state-wide, virtual, #EngagingMen as Allies initiative launching in Oct. This initiative will consist of #GoogleClassroom discussions &amp; monthly virtual meetings of men who are new or currently engaged in #ViolencePrevention work or #VictimAvocacy in #Texas.",2020-09-07 00:50:33+00:00,0,1,@TAASA,#EngagingMen #GoogleClassroom #ViolencePrevention #VictimAvocacy #Texas,
9,1302502906852184065,https://twitter.com/SadiaBokhari/status/1302502906852184065,SadiaBokhari,,Break barriers : Speak up #domesticviolenceawareness #abuseawareness #violenceprevention #humanrightscampaign #communications #survivor2020 #education #media #gender #mohsininiresourcecenter https://www.instagram.com/p/CEyTm9FlZkA/?igshid=1g1ossecsrows,2020-09-06 07:04:26+00:00,0,0,,#domesticviolenceawareness #abuseawareness #violenceprevention #humanrightscampaign #communications #survivor2020 #education #media #gender #mohsininiresourcecenter,
10,1302360556419133441,https://twitter.com/CadyCarlson/status/1302360556419133441,CadyCarlson,cmaternowska,Thanks for your leadership on this @cmaternowska #violenceprevention ,2020-09-05 21:38:47+00:00,0,1,@cmaternowska,#violenceprevention,
11,1301980771557670912,https://twitter.com/CUEmergency/status/1301980771557670912,CUEmergency,CUEmergency,"2/ Dr. Katie Bakes, Professor, based clinically at @DenverEMed, leading innovative projects for #ViolencePrevention ",2020-09-04 20:29:40+00:00,2,9,@DenverEMed,#ViolencePrevention,
12,1301919357962874881,https://twitter.com/CTRI_/status/1301919357962874881,CTRI_,,Subscribe to our newsletter and get access to our FREE e-manual: De-escalating Potentially Violent Situations. https://ctri.co/2Z0XKvQ #violenceprevention #professionaldevelopment #freeresources #workplacesafety,2020-09-04 16:25:38+00:00,1,1,,#violenceprevention #professionaldevelopment #freeresources #workplacesafety,
13,1301898041545326592,https://twitter.com/Neem_foundation/status/1301898041545326592,Neem_foundation,,"Gano yadda zaka iya warkarwa, Mayarwa da sabunta waɗanda suka rabu ba da son ransu ba! Ku bi mu a duk dandalin kafofin yaɗa labarai @neem_foundation #peace #peacebuilding #community #children #humanitarian #neemfoundation #youth #violenceprevention #society #healrestorerenew",2020-09-04 15:00:55+00:00,5,8,@Neem_foundation,#peace #peacebuilding #community #children #humanitarian #neemfoundation #youth #violenceprevention #society #healrestorerenew,
14,1301882864808726528,https://twitter.com/InsureEz/status/1301882864808726528,InsureEz,,"Losing a child to violence is a tragedy that is too familiar to too many mothers. Dr. Dorothy Johnson-Speight, founder of #MothersinCharge, is one powerful #communityleader who has taken her grief and turned it into action #ezInsure #violenceprevention ",2020-09-04 14:00:37+00:00,0,0,,#MothersinCharge #communityleader #ezInsure #violenceprevention,
15,1301872459491282944,https://twitter.com/NB_Action/status/1301872459491282944,NB_Action,,"That's it, that's all. Retweet and leave a comment. #DomesticViolence #FamilyViolence #IPV #ChildAbuse #ViolencePrevention #Moncton #SaintJohn #Miramichi #Bathurst #Campbellton #Edmundston #NBpoli #CDNpoli #NBElection2020",2020-09-04 13:19:16+00:00,1,0,,#DomesticViolence #FamilyViolence #IPV #ChildAbuse #ViolencePrevention #Moncton #SaintJohn #Miramichi #Bathurst #Campbellton #Edmundston #NBpoli #CDNpoli #NBElection2020,
16,1301849050933866497,https://twitter.com/MyPOV_Online/status/1301849050933866497,MyPOV_Online,,Girls join #gangs too but why &amp; what is their role? @rossdeuchar &amp; @theviolencepro share their research #ViolenceReduction #ViolencePrevention #Drugs @CommCrim @lewis_mayling @SCScic @ImpressMinds @Safergosport @Bravespace3 @DrCsanmiguel @CriminologyOpen,2020-09-04 11:46:15+00:00,15,26,@rossdeuchar @theviolencepro @CommCrim @lewis_mayling @SCScic @ImpressMinds @Safergosport @Bravespace3 @DrCsanmiguel @CriminologyOpen,#gangs #ViolenceReduction #ViolencePrevention #Drugs,
17,1301840184024215554,https://twitter.com/NB_Action/status/1301840184024215554,NB_Action,,Please read our new post: Child Poverty in Bathurst: https://bit.ly/2EHOgQB #ChildPoverty #ChildRights #EndChildPoverty #EndPoverty #PovertyReduction #MentalHealth #ChildAbuse #ViolencePrevention #Moncton #SaintJohn #Miramichi #Bathurst #Campbellton #Edmundston,2020-09-04 11:11:01+00:00,1,1,,#ChildPoverty #ChildRights #EndChildPoverty #EndPoverty #PovertyReduction #MentalHealth #ChildAbuse #ViolencePrevention #Moncton #SaintJohn #Miramichi #Bathurst #Campbellton #Edmundston,
18,1301824642789892097,https://twitter.com/Neem_foundation/status/1301824642789892097,Neem_foundation,,"Find out how you can Heal, Restore and Renew those separated by FORCE, follow us on all media platforms @neem_foundation . #peace #peacebuilding #community #children #humanitarian #neemfoundation #youth #violenceprevention #society #unity #childrensrights #healrestorerenew",2020-09-04 10:09:16+00:00,6,10,@Neem_foundation,#peace #peacebuilding #community #children #humanitarian #neemfoundation #youth #violenceprevention #society #unity #childrensrights #healrestorerenew,
