,id,permalink,username,to,text,date,retweets,favorites,mentions,hashtags,geo
0,1303483068112605186,https://twitter.com/UWomensNetwork/status/1303483068112605186,UWomensNetwork,,"You are valuable, powerful and deserving of every opportunity! Hillary Clinton #Quote #women ",2020-09-08 23:59:15+00:00,0,0,,#Quote #women,
1,1301587465258577920,https://twitter.com/LenovoLegion/status/1301587465258577920,LenovoLegion,,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,,
2,1303481874220822529,https://twitter.com/gabby_delrey/status/1303481874220822529,gabby_delrey,nexta_tv,Maria Kolesnikova made history. Hope she will become the president of Belarus. #Women #Equality #History #Support #Hero #BelarusProtest #Lukashenko #Corruption and #Tyranny,2020-09-08 23:54:30+00:00,0,0,,#Women #Equality #History #Support #Hero #BelarusProtest #Lukashenko #Corruption #Tyranny,
3,1303481163676344321,https://twitter.com/Captain_Quinoa/status/1303481163676344321,Captain_Quinoa,aj_fairley,"Ya we had a time when women weren’t allowed to be educated in this country. That didn’t go too well. Many other places still don’t allow women an education, or is very tough to acquire. #women #WomensRights",2020-09-08 23:51:41+00:00,0,0,,#women #WomensRights,
4,1303480629896646661,https://twitter.com/SecretAura/status/1303480629896646661,SecretAura,,"Excited to share this item from my #etsy shop: Rose Gold Hoop Earrings, Rustic Earrings, Hammered Gold, Boho Earrings, Bohemian Earrings, Rose Gold Fill Jewelry #pink #women #rosegoldhoop #hoopearrings #rosegoldjewelry #gold #bohohippie https://etsy.me/3id1fbZ",2020-09-08 23:49:34+00:00,0,1,,#etsy #pink #women #rosegoldhoop #hoopearrings #rosegoldjewelry #gold #bohohippie,
5,1303480444244033536,https://twitter.com/CGSHEquity/status/1303480444244033536,CGSHEquity,msfhr," Congratulations @mwiedm, #CGSHE Director of Clinical Practice for being awarded the @msfhr 2020 Research Trainee Award for: ""Determinants of sexual &amp; repro. health care for im/migrant #women: a community-based mixed methods study to realize comprehensive #primarycare in BC"".",2020-09-08 23:48:50+00:00,1,15,@mwiedm @msfhr,#CGSHE #women #primarycare,
6,1303480437524901888,https://twitter.com/MentalAffairs/status/1303480437524901888,MentalAffairs,,What can this unfulfilled wife do? Please read and advise her. #dearsunrise . . . . #mentalaffairs #lifeexperience #wives #mothers #women #womensupportingwomen #africanwomen #africanlife #africanculture #MarriageStory #counselling #therapy #therapysession #marriagetherapy,2020-09-08 23:48:48+00:00,0,1,,#dearsunrise #mentalaffairs #lifeexperience #wives #mothers #women #womensupportingwomen #africanwomen #africanlife #africanculture #MarriageStory #counselling #therapy #therapysession #marriagetherapy,
7,1303480319559913473,https://twitter.com/hiresurvivors/status/1303480319559913473,hiresurvivors,,"3/5 and those cents add up to nearly 30K dollars over the average 40 year career of a #Hispanic or #Latino #woman, 26K for #AmericanIndian and/or #AlaskaNative #women &amp; 24K for #Black women.⠀",2020-09-08 23:48:20+00:00,0,0,,#Hispanic #Latino #woman #AmericanIndian #AlaskaNative #women #Black,
8,1303480316527390720,https://twitter.com/hiresurvivors/status/1303480316527390720,hiresurvivors,,"⁣1/5 Yesterday was #LaborDay in the #UnitedStates and while it’s intent is to celebrate #American workers, we feel it’s important to recognize the fact that #women of all races still make cents on the #dollar compared to #men.⠀",2020-09-08 23:48:19+00:00,0,0,,#LaborDay #UnitedStates #American #women #dollar #men,
9,1303480238869852160,https://twitter.com/CloverdaleGov/status/1303480238869852160,CloverdaleGov,Skulegata,#business #finance #economy #stock #quotes #cash #money #networking #marketing #gold #black #news #America #Russia #God #boys #girls #women #happy #animals #angels #fashion #prison #Christian #good #Muslims #BLACKlivesmatter #Trump #Putin #Futures #SCOTUS #Media #IceCream #USA,2020-09-08 23:48:01+00:00,0,0,,#business #finance #economy #stock #quotes #cash #money #networking #marketing #gold #black #news #America #Russia #God #boys #girls #women #happy #animals #angels #fashion #prison #Christian #good #Muslims #BLACKlivesmatter #BLACKlivesmatter #Trump #Putin #Futures #SCOTUS #Media #IceCream #IceCream #USA,
10,1303479551775907847,https://twitter.com/feminists_dzair/status/1303479551775907847,feminists_dzair,,اوقفوا العنف ضد النساء و جرائم قتل النساء ! Halte aux violences contre les femmes et aux feminicides ! #العدالة_لعيسات_إكرام #feminicide #feminisme #ViolencesConjugales #violence #Algerie #algeria #women #justice #injustice #égalité #HumanRights,2020-09-08 23:45:17+00:00,7,10,,#feminicide #feminisme #ViolencesConjugales #violence #Algerie #algeria #women #justice #injustice #HumanRights,
11,1303479448742891520,https://twitter.com/SecretAura/status/1303479448742891520,SecretAura,,"Excited to share this item from my #etsy shop: 14K Gold Bracelet , Wide Cuff Bracelet, Hammered Gold Bracelet, Champagne Bubbles Bracelet #giftforwife #gold #women #14kgoldfilled #widecuffbracelet #hammeredcuff #14kgoldbracelet #rusticbangle #widegoldcuff https://etsy.me/337Rgi1",2020-09-08 23:44:52+00:00,0,0,,#etsy #giftforwife #gold #women #14kgoldfilled #widecuffbracelet #hammeredcuff #14kgoldbracelet #rusticbangle #widegoldcuff,
